date,dex_volume_usd,curve_volume_usd,bridge_deposit_usd,bridge_withdraw_usd,bridge_net_flow,eth_stablecoin_supply,eth_stablecoin_minted,eth_stablecoin_bridged
2023-07-16,1486058624,73545618.0,194306732.26340055,132843362.44342563,61463369.81997493,68186278456,76115720544,101160139
2023-07-17,2642138060,208525096.0,190031217.95941463,218216276.43178847,-28185058.472373843,68132035543,76082271195,101127143
2023-07-18,2037626880,141784304.0,209505212.52622655,209417326.06687957,87886.45934697986,67936177761,75886922050,101086473
2023-07-19,1882459507,145582597.0,149948801.37871125,152483750.60092404,-2534949.2222127914,67947417989,75884899387,101044806
2023-07-20,1994471528,149265328.0,155207497.40016693,203776271.82513532,-48568774.42496839,67744924387,75647600442,101100445
2023-07-21,1450982404,60815346.0,184335124.37784025,168804048.47291923,15531075.904921025,67677613912,75560261497,101076507
2023-07-22,1481044641,121695007.0,193420886.3506817,161393093.2919195,32027793.058762193,67508404162,75388382909,101102943
2023-07-23,1133269466,44367179.0,156218235.127788,187559053.34674785,-31340818.21895984,67483845572,75383879302,101166351
2023-07-24,1906858845,121700435.0,201522827.84801582,191914759.66202998,9608068.185985833,67442146479,75337621614,101060002
2023-07-25,1366025045,104231635.0,164844688.2854148,251421591.58543244,-86576903.30001765,67319494978,75202886113,101027194
2023-07-26,1786650356,149314885.0,174003466.7979062,181216448.82152125,-7212982.023615062,67238464481,75094896447,101095002
2023-07-27,1500301407,132483672.0,156484135.51243797,129360130.97603472,27124004.536403254,67284509051,75062297227,101171111
2023-07-28,1303321410,129873278.0,148369079.2824385,134496137.23594496,13872942.04649353,67243074020,74954585393,101064661
2023-07-29,1050169270,69498861.0,151702392.14424834,109985745.52904162,41716646.61520672,67075746982,74773432428,101155245
2023-07-30,2274674995,413698753.0,167699557.36286795,155200467.67079222,12499089.69207573,67093884360,74793749451,101095084
2023-07-31,2560237229,356114154.0,167094825.8008073,177577018.6798178,-10482192.879010499,66961519080,74672372436,101006921
2023-08-01,2779481220,415116705.0,161769997.81338906,153997988.7764792,7772009.036909848,66952476439,74636015639,100968216
2023-08-02,2109809734,188273164.0,188012696.6004931,199605753.31836718,-11593056.71787408,66877987048,74532954768,100746056
2023-08-03,1667756031,165665265.0,225871480.7611765,312450475.4910941,-86578994.72991762,66742244257,74371278405,100725200
2023-08-04,1738099747,198483900.0,213588018.7586907,165602253.8917326,47985764.86695811,66617114139,74222736934,100822716
2023-08-05,1783537733,744761615.0,163705872.6199559,154984098.72358215,8721773.896373749,66446689350,74023001995,100733477
2023-08-06,1175504116,125627293.0,127673486.73767395,118335451.30566932,9338035.43200463,66478450723,74029688865,100652636
2023-08-07,1944451500,302278161.0,158485406.27417615,187064143.99257654,-28578737.71840039,66432344724,73982184717,100566758
2023-08-08,2128824625,213773436.0,174494612.27231276,220740380.4045813,-46245768.13226855,66314275275,73848364220,100675839
2023-08-09,1762054333,137615880.0,147324902.07221565,137101910.05917388,10222992.013041764,66541344627,74085301560,100829972
2023-08-10,1577951335,138653512.0,166505644.65344888,208468999.16576794,-41963354.51231906,66509043373,74045786819,100681482
2023-08-11,1313122649,138962965.0,133935090.82081321,163893555.71788612,-29958464.89707291,66320040085,73836057911,100757934
2023-08-12,1035025980,52971376.0,120974829.85088667,161094595.05687413,-40119765.20598745,66305239426,73812011042,100688165
2023-08-13,1713710946,424839660.0,160725281.55567452,140526164.8759297,20199116.67974481,66432445509,73913251695,100618988
2023-08-14,1615015044,201003503.0,186975611.21429205,151364139.66183984,35611471.55245221,66482391453,73971974808,100611461
2023-08-15,1786447539,165682715.0,193249313.50928786,164427027.5204809,28822285.988806963,66261522088,73787683367,100614061
2023-08-16,2008284024,150510250.0,158237212.2399814,157257018.95327374,980193.2867076695,66216656205,73782493101,100698512
2023-08-17,4328465173,315043584.0,164174719.4309871,139758773.08142486,24415946.349562228,66245064508,73683746833,100406493
2023-08-18,2881241407,314439978.0,206888034.05645892,154321570.73752058,52566463.318938345,66080441485,73532498486,100530576
2023-08-19,1577278673,122820949.0,118354932.45683229,99666684.04739669,18688248.4094356,65720905779,73154082079,100536036
2023-08-20,1326461738,68270749.0,88394194.51979999,101962964.63703896,-13568770.117238969,65962020902,73411547808,100737007
2023-08-21,1748762831,143379211.0,130273932.182108,196810845.37660882,-66536913.19450082,66052686637,73501352234,100781850
