date,hhi_component,share_pct,tier,volume_usd
2023-03-30 00:00:00.000 UTC,8063.77,89.8,Tier1,1447147943.0812616
2023-03-30 00:00:00.000 UTC,0.1,0.31,Tier2,4995005
2023-03-30 00:00:00.000 UTC,97.84,9.89,Tier3,159407345.45330095
2023-03-31 00:00:00.000 UTC,7121.93,84.39,Tier1,1080486496.806413
2023-03-31 00:00:00.000 UTC,0,0.02,Tier2,200000
2023-03-31 00:00:00.000 UTC,243.14,15.59,Tier3,199639514.75848204
2023-04-01 00:00:00.000 UTC,5086.99,71.32,Tier1,118055829.10987888
2023-04-01 00:00:00.000 UTC,822.36,28.68,Tier3,47466706.540905006
2023-04-02 00:00:00.000 UTC,4405.25,66.37,Tier1,149824973.46898597
2023-04-02 00:00:00.000 UTC,1130.84,33.63,Tier3,75910093.003578
2023-04-03 00:00:00.000 UTC,7945.53,89.14,Tier1,1065358751.1986302
2023-04-03 00:00:00.000 UTC,0.06,0.25,Tier2,2997003
2023-04-03 00:00:00.000 UTC,112.61,10.61,Tier3,126827705.94695102
2023-04-04 00:00:00.000 UTC,6675.46,81.7,Tier1,1038652032.0466123
2023-04-04 00:00:00.000 UTC,95.14,9.75,Tier2,123996004
2023-04-04 00:00:00.000 UTC,72.98,8.54,Tier3,108597976.65639603
2023-04-05 00:00:00.000 UTC,7225.95,85.01,Tier1,429729525.7304013
2023-04-05 00:00:00.000 UTC,1.86,1.36,Tier2,6893106.9
2023-04-05 00:00:00.000 UTC,185.8,13.63,Tier3,68908377.749409
2023-04-06 00:00:00.000 UTC,7748.76,88.03,Tier1,716609643.3154567
2023-04-06 00:00:00.000 UTC,0.39,0.63,Tier2,5094905.09
2023-04-06 00:00:00.000 UTC,128.76,11.35,Tier3,92374684.73128305
2023-04-07 00:00:00.000 UTC,7355.17,85.76,Tier1,354023843.138519
2023-04-07 00:00:00.000 UTC,202.71,14.24,Tier3,58772677.261982985
2023-04-08 00:00:00.000 UTC,1948.2,44.14,Tier1,69999279.071144
2023-04-08 00:00:00.000 UTC,3120.52,55.86,Tier3,88591151.43963102
2023-04-09 00:00:00.000 UTC,6494.99,80.59,Tier1,214027459.233895
2023-04-09 00:00:00.000 UTC,376.69,19.41,Tier3,51543203.277154006
2023-04-10 00:00:00.000 UTC,7933.7,89.07,Tier1,1502545897.1416047
2023-04-10 00:00:00.000 UTC,38.4,6.2,Tier2,104530004
2023-04-10 00:00:00.000 UTC,22.39,4.73,Tier3,79826075.07689701
2023-04-11 00:00:00.000 UTC,5736.28,75.74,Tier1,753579895.0614349
2023-04-11 00:00:00.000 UTC,101.01,10.05,Tier2,100000000
2023-04-11 00:00:00.000 UTC,201.96,14.21,Tier3,141399529.602936
2023-04-12 00:00:00.000 UTC,8121.56,90.12,Tier1,1159221343.1428673
2023-04-12 00:00:00.000 UTC,0.1,0.31,Tier2,3996004
2023-04-12 00:00:00.000 UTC,91.58,9.57,Tier3,123095957.54932599
2023-04-13 00:00:00.000 UTC,7649,87.46,Tier1,783811488.2634951
2023-04-13 00:00:00.000 UTC,157.29,12.54,Tier3,112397586.25920795
2023-04-14 00:00:00.000 UTC,7277.01,85.31,Tier1,991382776.187626
2023-04-14 00:00:00.000 UTC,0.04,0.21,Tier2,2397602.4
2023-04-14 00:00:00.000 UTC,209.91,14.49,Tier3,168376439.486661
2023-04-15 00:00:00.000 UTC,2978.76,54.58,Tier1,189577648.69896188
2023-04-15 00:00:00.000 UTC,1193.5,34.55,Tier2,120000000
2023-04-15 00:00:00.000 UTC,118.26,10.87,Tier3,37773810.87551001
2023-04-16 00:00:00.000 UTC,5739.26,75.76,Tier1,76913696.10729901
2023-04-16 00:00:00.000 UTC,587.68,24.24,Tier3,24611932.697075
2023-04-17 00:00:00.000 UTC,8488.54,92.13,Tier1,1286706749.4088597
2023-04-17 00:00:00.000 UTC,61.89,7.87,Tier3,109864244.66166002
2023-04-18 00:00:00.000 UTC,8789.49,93.75,Tier1,1048177310.3823459
2023-04-18 00:00:00.000 UTC,39.03,6.25,Tier3,69851291.52823798
2023-04-19 00:00:00.000 UTC,7911.4,88.95,Tier1,963025487.595736
2023-04-19 00:00:00.000 UTC,122.19,11.05,Tier3,119681798.88061096
2023-04-20 00:00:00.000 UTC,2174.64,46.63,Tier1,1135113679.653632
2023-04-20 00:00:00.000 UTC,2271.03,47.66,Tier2,1160000000
2023-04-20 00:00:00.000 UTC,32.62,5.71,Tier3,139029501.77685302
2023-04-21 00:00:00.000 UTC,7563.02,86.97,Tier1,1164568012.830812
2023-04-21 00:00:00.000 UTC,0,0.05,Tier2,716284.067197
2023-04-21 00:00:00.000 UTC,168.5,12.98,Tier3,173829105.33024296
2023-04-22 00:00:00.000 UTC,5469.38,73.96,Tier1,230070159.160295
2023-04-22 00:00:00.000 UTC,678.33,26.04,Tier3,81023659.904347
2023-04-23 00:00:00.000 UTC,2930.76,54.14,Tier1,77969435.54215397
