collateral_token,date,liquidation_count,liquidation_usd
USDT,2025-08-23 00:00:00.000 UTC,1,17.37003
USDC,2025-08-24 00:00:00.000 UTC,2,21446.437891999998
USDT,2025-08-24 00:00:00.000 UTC,2,45833.873576
USDT,2025-08-25 00:00:00.000 UTC,1,4577.07749
DAI,2025-08-27 00:00:00.000 UTC,1,13540048842995.797
USDT,2025-08-27 00:00:00.000 UTC,1,29.607269
USDC,2025-08-28 00:00:00.000 UTC,1,127034.563362
USDT,2025-08-29 00:00:00.000 UTC,1,120.335892
USDC,2025-09-01 00:00:00.000 UTC,1,3966.869949
USDC,2025-09-03 00:00:00.000 UTC,1,0.020695
USDC,2025-09-04 00:00:00.000 UTC,1,67944.722903
USDT,2025-09-07 00:00:00.000 UTC,1,3.980903
USDC,2025-09-13 00:00:00.000 UTC,2,7787.374304
USDC,2025-09-18 00:00:00.000 UTC,1,126180.905362
DAI,2025-09-23 00:00:00.000 UTC,1,5066789180513.468
USDC,2025-09-23 00:00:00.000 UTC,2,10.33524
USDT,2025-09-23 00:00:00.000 UTC,1,5.057318
DAI,2025-09-24 00:00:00.000 UTC,1,207525302733704.34
USDC,2025-09-25 00:00:00.000 UTC,1,2247.149758
DAI,2025-10-01 00:00:00.000 UTC,1,86011380971197.7
USDC,2025-10-06 00:00:00.000 UTC,1,197.225827
USDT,2025-10-08 00:00:00.000 UTC,1,384.853448
DAI,2025-10-10 00:00:00.000 UTC,2,31152491172310010
USDC,2025-10-10 00:00:00.000 UTC,19,174687.335706
USDT,2025-10-10 00:00:00.000 UTC,22,1511373.4966109998
USDC,2025-10-11 00:00:00.000 UTC,2,1421.63675
USDC,2025-10-12 00:00:00.000 UTC,1,6.595581
USDT,2025-10-12 00:00:00.000 UTC,1,7.227929
USDC,2025-10-13 00:00:00.000 UTC,2,161.88969
USDC,2025-10-15 00:00:00.000 UTC,2,4.971773000000001
USDT,2025-10-15 00:00:00.000 UTC,1,0.858478
USDC,2025-10-20 00:00:00.000 UTC,2,139933.95226199998
USDT,2025-10-21 00:00:00.000 UTC,2,1683205.884663
USDC,2025-10-23 00:00:00.000 UTC,1,15.45064
USDC,2025-10-26 00:00:00.000 UTC,2,78163.348888
USDT,2025-10-26 00:00:00.000 UTC,2,77.84633
USDC,2025-10-27 00:00:00.000 UTC,1,2023.600835
USDC,2025-11-03 00:00:00.000 UTC,2,540.157585
